Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
260.0,2023-03-02,10:52:46,131,2023-03-02,19:30:00,DAL Stars,−250
261.0,2023-03-02,10:52:46,131,2023-03-02,19:30:00,CHI Blackhawks,+210
262.0,2023-03-02,10:52:46,132,2023-03-02,20:00:00,TOR Maple Leafs,+100
263.0,2023-03-02,10:52:46,132,2023-03-02,20:00:00,CGY Flames,−120
264.0,2023-03-02,10:52:46,133,2023-03-02,21:00:00,MIN Wild,−165
265.0,2023-03-02,10:52:46,133,2023-03-02,21:00:00,VAN Canucks,+140
266.0,2023-03-02,10:52:46,134,2023-03-02,21:30:00,MTL Canadiens,+210
267.0,2023-03-02,10:52:46,134,2023-03-02,21:30:00,LA Kings,−250
268.0,2023-03-02,10:52:46,135,2023-03-02,21:30:00,STL Blues,+100
269.0,2023-03-02,10:52:46,135,2023-03-02,21:30:00,SJ Sharks,−120
270.0,2023-03-03,10:01:18,136,2023-03-03,18:08:00,SEA Kraken,−165
271.0,2023-03-03,10:01:18,136,2023-03-03,18:08:00,CBJ Blue Jackets,+140
272.0,2023-03-03,10:01:18,137,2023-03-03,20:08:00,WPG Jets,+135
273.0,2023-03-03,10:01:18,137,2023-03-03,20:08:00,EDM Oilers,−155
274.0,2023-03-03,10:01:18,138,2023-03-03,20:38:00,CAR Hurricanes,−360
275.0,2023-03-03,10:01:18,138,2023-03-03,20:38:00,ARI Coyotes,+295
276.0,2023-03-03,10:01:18,139,2023-03-03,21:00:00,MTL Canadiens,+105
277.0,2023-03-03,10:01:18,139,2023-03-03,21:00:00,ANA Ducks,−125
278.0,2023-03-03,10:01:18,140,2023-03-03,21:08:00,NJ Devils,−110
279.0,2023-03-03,10:01:18,140,2023-03-03,21:08:00,VGK Golden Knights,−110
280.0,2023-03-04,10:53:49,141,2023-03-04,11:38:00,TB Lightning,−165
281.0,2023-03-04,10:53:49,141,2023-03-04,11:38:00,BUF Sabres,+140
282.0,2023-03-04,10:53:49,142,2023-03-04,11:38:00,DET Red Wings,+170
283.0,2023-03-04,10:53:49,142,2023-03-04,11:38:00,NY Islanders,−200
284.0,2023-03-04,10:53:49,143,2023-03-04,12:08:00,NY Rangers,+155
285.0,2023-03-04,10:53:49,143,2023-03-04,12:08:00,BOS Bruins,−180
286.0,2023-03-04,10:53:49,144,2023-03-04,14:38:00,COL Avalanche,−110
287.0,2023-03-04,10:53:49,144,2023-03-04,14:38:00,DAL Stars,−110
288.0,2023-03-04,10:53:49,145,2023-03-04,17:08:00,PIT Penguins,+105
289.0,2023-03-04,10:53:49,145,2023-03-04,17:08:00,FLA Panthers,−125
290.0,2023-03-04,10:53:49,146,2023-03-04,17:08:00,WAS Capitals,−145
291.0,2023-03-04,10:53:49,146,2023-03-04,17:08:00,SJ Sharks,+125
292.0,2023-03-04,10:54:31,147,2023-03-04,18:00:00,CBJ Blue Jackets,+225
293.0,2023-03-04,10:54:31,147,2023-03-04,18:00:00,OTT Senators,−265
294.0,2023-03-04,10:54:31,148,2023-03-04,18:08:00,TOR Maple Leafs,−205
295.0,2023-03-04,10:54:31,148,2023-03-04,18:08:00,VAN Canucks,+175
296.0,2023-03-04,10:54:31,149,2023-03-04,18:08:00,EDM Oilers,−130
297.0,2023-03-04,10:54:31,149,2023-03-04,18:08:00,WPG Jets,+110
298.0,2023-03-04,10:54:31,150,2023-03-04,19:08:00,NSH Predators,−225
299.0,2023-03-04,10:54:31,150,2023-03-04,19:08:00,CHI Blackhawks,+190
300.0,2023-03-04,10:54:31,151,2023-03-04,21:08:00,MIN Wild,+135
301.0,2023-03-04,10:54:31,151,2023-03-04,21:08:00,CGY Flames,−155
302.0,2023-03-04,10:54:31,152,2023-03-04,21:38:00,STL Blues,+180
303.0,2023-03-04,10:54:31,152,2023-03-04,21:38:00,LA Kings,−210
304.0,2023-03-05,10:33:09,153,2023-03-05,14:00:00,TB Lightning,+150
305.0,2023-03-05,10:33:09,153,2023-03-05,14:00:00,CAR Hurricanes,−175
306.0,2023-03-05,10:33:09,154,2023-03-05,17:00:00,MTL Canadiens,+230
307.0,2023-03-05,10:33:09,154,2023-03-05,17:00:00,VGK Golden Knights,−275
308.0,2023-03-05,10:33:09,155,2023-03-05,17:00:00,DET Red Wings,+110
309.0,2023-03-05,10:33:09,155,2023-03-05,17:00:00,PHI Flyers,−130
310.0,2023-03-05,10:33:34,156,2023-03-05,18:00:00,NJ Devils,−345
311.0,2023-03-05,10:33:34,156,2023-03-05,18:00:00,ARI Coyotes,+285
312.0,2023-03-05,10:33:34,157,2023-03-05,20:00:00,SEA Kraken,+140
313.0,2023-03-05,10:33:34,157,2023-03-05,20:00:00,COL Avalanche,−165
314.0,2023-03-06,10:05:55,158,2023-03-06,18:30:00,EDM Oilers,−165
315.0,2023-03-06,10:05:55,158,2023-03-06,18:30:00,BUF Sabres,+140
316.0,2023-03-06,10:05:55,159,2023-03-06,18:38:00,SJ Sharks,+175
317.0,2023-03-06,10:05:55,159,2023-03-06,18:38:00,WPG Jets,−205
318.0,2023-03-06,10:05:55,160,2023-03-06,19:38:00,CGY Flames,+120
319.0,2023-03-06,10:05:55,160,2023-03-06,19:38:00,DAL Stars,−140
320.0,2023-03-06,10:05:55,161,2023-03-06,20:08:00,OTT Senators,−260
321.0,2023-03-06,10:05:55,161,2023-03-06,20:08:00,CHI Blackhawks,+220
322.0,2023-03-06,10:05:55,162,2023-03-06,21:30:00,NSH Predators,−105
323.0,2023-03-06,10:05:55,162,2023-03-06,21:30:00,VAN Canucks,−115
